Banjo-Kazooie,Adventure
Banjo-Kazooie,Action
Paradise,Adventure
Metro 2033,Shooter
Metro 2033,Action
Dynasty Warriors 6,Action
Mario Kart: Double Dash!!,Sports
Mario Kart: Double Dash!!,Racing
Mario Kart: Double Dash!!,Action
Mario Party 4,Sports
Mario Party 4,Puzzle
Mario Party 4,Action
Mario Party 8,Puzzle
Mario Kart Wii,Racing
Mario Kart Wii,Action
New Super Mario Bros. Wii,Platform
New Super Mario Bros. Wii,Adventure
New Super Mario Bros. Wii,Action
Super Mario Bros. 2,Platform
Super Mario Bros. 2,Adventure
Super Mario Bros. 2,Action
Metroid Prime,Shooter
Metroid Prime,Platform
Metroid Prime,Adventure
Metroid Prime,Action
Perfect Dark,Stealth
Perfect Dark,Shooter
Perfect Dark,Action
The Legend of Zelda: The Wind Waker,Role-Playing
The Legend of Zelda: The Wind Waker,Puzzle
The Legend of Zelda: The Wind Waker,Platform
The Legend of Zelda: The Wind Waker,Adventure
The Legend of Zelda: The Wind Waker,Action
The Legend of Zelda: Majora's Mask,Role-Playing
The Legend of Zelda: Majora's Mask,Adventure
The Legend of Zelda: Majora's Mask,Action
Banjo-Tooie,Puzzle
Banjo-Tooie,Platform
Banjo-Tooie,Adventure
Banjo-Tooie,Action
Diddy Kong Racing,Racing
Diddy Kong Racing,Adventure
Full Throttle,Puzzle
Full Throttle,Adventure
The Dig,Adventure
Blood Bowl,Strategy
Shining Force,Role-Playing
Shining Force II,Role-Playing
Shining Force III,Strategy
Shining Force III,Role-Playing
Mass Effect,Shooter
Mass Effect,Role-Playing
Mass Effect,Action
Mass Effect 2,Shooter
Mass Effect 2,Action
Teenage Mutant Ninja Turtles IV: Turtles In Time,Action
Mario Bros.,Platform
Mario Bros.,Action
Batman: Arkham Asylum,Adventure
Batman: Arkham Asylum,Action
Red Dead Redemption,Shooter
Red Dead Redemption,Sandbox
Red Dead Redemption,Adventure
Red Dead Redemption,Action
"Warhammer 40,000: Dawn of War: Soulstorm",Strategy
Halo 3: ODST,Action
Tom Clancy's Ghost Recon Advanced Warfighter 2,Shooter
Marvel vs. Capcom: Clash of Super Heroes,Action
Metal Gear Solid,Action
Warhammer Online: Age of Reckoning,Role-Playing
Classic NES Series: Zelda II: The Adventure of Link,Role-Playing
Ikaruga,Shooter
Uncharted 2: Among Thieves,Adventure
Uncharted 2: Among Thieves,Action
1942,Shooter
Aero Fighters,Shooter
Super Bubble Bobble MD,Action
BurgerTime,Puzzle
Commando,Shooter
DigDug,Puzzle
Double Dragon,Action
Golden Axe,Action
Rad Racer,Racing
Chubby Cherub,Action
Excitebike,Racing
DoDonPachi,Shooter
Super Mario 64,Puzzle
Super Mario 64,Platform
Super Mario 64,Adventure
Super Mario 64,Action
Command & Conquer,Strategy
Command & Conquer: Tiberian Sun,Strategy
Command & Conquer: Renegade,Shooter
Command & Conquer: Red Alert,Strategy
Command & Conquer: Red Alert 2,Strategy
Metal Slug,Shooter
Metal Slug,Adventure
Metal Slug,Action
Metal Slug 2,Shooter
Metal Slug 2,Adventure
Metal Slug 2,Action
Metal Slug 3,Shooter
Metal Slug 3,Adventure
Metal Slug 3,Action
Metal Slug 4,Shooter
Metal Slug 4,Adventure
Metal Slug 4,Action
Metal Slug 5,Shooter
Metal Slug 5,Adventure
Metal Slug 5,Action
Metal Slug 6,Shooter
Metal Slug 6,Adventure
Metal Slug 6,Action
Cruis'n USA,Racing
Cruis'n World,Racing
Cruis'n Exotica,Racing
Cruis'n Exotica,Action
Star Wars: Shadows of the Empire,Action
Super Mario RPG: Legend of the Seven Stars,Role-Playing
Metroid Prime 3: Corruption,Shooter
Metroid Prime 3: Corruption,Platform
